date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2020-09-30,AUB,21.37,-0.081255,78719.0,1682225.03,1830841.12
2020-10-30,AUB,25.29,0.183435,78719.0,1990803.51,1682225.03
2020-11-30,AUB,29.91,0.192566,78719.0,2354485.29,1990803.51
2020-12-31,AUB,32.94,0.101304,78729.0,2593333.26,2354485.29
2021-01-29,AUB,32.84,-0.003036,78729.0,2585460.3600000003,2593333.26
2021-02-26,AUB,36.73,0.126066,78799.0,2894287.27,2585460.3600000003
2021-03-31,AUB,38.36,0.044378,79006.0,3030670.16,2894287.27
2021-04-30,AUB,38.67,0.008081,79010.0,3055316.7,3030670.16
2021-05-28,AUB,41.02,0.068011,79010.0,3240990.2,3055316.7
2021-06-30,AUB,36.22,-0.117016,77929.0,2822588.38,3240990.2
2021-07-30,AUB,35.47,-0.020707,76905.0,2727820.35,2822588.38
2021-08-31,AUB,37.0,0.051029,76905.0,2845485.0,2727820.35
2021-09-30,AUB,36.85,-0.004054,75645.0,2787518.25,2845485.0
2021-10-29,AUB,35.87,-0.026594,75653.0,2713673.11,2787518.25
2021-11-30,AUB,32.51,-0.085866,75653.0,2459479.03,2713673.11
2021-12-31,AUB,37.29,0.147032,75664.0,2821510.56,2459479.03
2020-01-31,AIV,52.71,0.020523,148449.0,7824746.79,7689910.25
2020-02-28,AIV,47.84,-0.084614,148930.0,7124811.2,7824746.79
2020-03-31,AIV,35.15,-0.265259,148930.0,5234889.5,7124811.2
2020-04-30,AIV,37.67,0.071693,148930.0,5610193.100000001,5234889.5
2020-05-29,AIV,36.87,-0.010353,148864.0,5488615.68,5610193.100000001
2020-06-30,AIV,37.64,0.020884,148864.0,5603240.96,5488615.68
2020-07-31,AIV,38.82,0.03135,148864.0,5778900.48,5603240.96
2020-08-31,AIV,36.03,-0.061309,148865.0,5363605.95,5778900.48
2020-09-30,AIV,33.72,-0.064113,148865.0,5019727.8,5363605.95
2020-10-30,AIV,31.9,-0.053974,148866.0,4748825.399999999,5019727.8
2020-11-30,AIV,30.35,0.237554,189616.0,5754845.600000001,4748825.399999999
2020-11-30,AIV,30.35,0.237554,189616.0,5754845.600000001,5754845.600000001
2020-12-31,AIV,5.28,0.198444,148866.0,786012.48,5754845.600000001
2020-12-31,AIV,5.28,0.198444,148866.0,786012.48,786012.48
2021-01-29,AIV,4.59,-0.130682,148866.0,683294.94,786012.48
2021-02-26,AIV,4.76,0.037037,148866.0,708602.1599999999,683294.94
